Date,Simple Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Absolute Pressure (inHg)
2022-07-14T02:25:00-04:00,2022-07-14 02:25:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T02:20:00-04:00,2022-07-14 02:20:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T02:15:00-04:00,2022-07-14 02:15:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T02:10:00-04:00,2022-07-14 02:10:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T02:05:00-04:00,2022-07-14 02:05:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T02:00:00-04:00,2022-07-14 02:00:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T01:55:00-04:00,2022-07-14 01:55:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T01:50:00-04:00,2022-07-14 01:50:00,,,,,,,,,,,,,,29.93,,,,29.86
2022-07-14T01:45:00-04:00,2022-07-14 01:45:00,,,,,,,,,,,,,,29.93,,,,29.86
2022-07-14T01:40:00-04:00,2022-07-14 01:40:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T01:35:00-04:00,2022-07-14 01:35:00,,,,,,,,,,,,,,29.92,,,,29.86
2022-07-14T01:30:00-04:00,2022-07-14 01:30:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-14T01:25:00-04:00,2022-07-14 01:25:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-14T01:20:00-04:00,2022-07-14 01:20:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-14T01:15:00-04:00,2022-07-14 01:15:00,,,,,,,,,,,,,,29.93,,,,29.87
2022-07-14T01:10:00-04:00,2022-07-14 01:10:00,,,,,,,,,,,,,,29.93,,,,29.87
